Month,EUR_DF,PLN_DF,EUR/PLN
0,1,1,4.3
1,1.000395317,0.998300191,4.309
2,1.000638649,0.997183014,4.3149
3,1.000880866,0.995827656,4.3218
4,1.001155849,0.994413862,4.3292
5,1.001432498,0.992949085,4.3367
6,1.001705918,0.991459364,4.3444
7,1.001973385,0.989969969,4.3521
8,1.002237756,0.988464527,4.3599
9,1.002495291,0.986924933,4.3678
10,1.00274309,0.985327205,4.376
11,1.002980774,0.983667896,4.3844
12,1.003206829,0.981958416,4.393
13,1.003418338,0.980169964,4.402
14,1.003612874,0.97831556,4.4112
15,1.003789799,0.97649471,4.4202
16,1.003945076,0.974745389,4.4288
17,1.004075935,0.97301657,4.4373
18,1.004184598,0.971290365,4.4456
19,1.004268788,0.969565431,4.4539
20,1.004325602,0.967843292,4.4621
21,1.004357689,0.966103004,4.4703
22,1.00436295,0.964337613,4.4785
23,1.004339887,0.962550933,4.4867
24,1.004293467,0.960733993,4.495
25,1.004225754,0.958877224,4.5034
26,1.00413364,0.956981009,4.5119
27,1.004014932,0.955051248,4.5205
28,1.003867634,0.953088842,4.5291
29,1.003691714,0.951087363,4.5378
30,1.003487898,0.949042358,4.5467
31,1.003253067,0.94692837,4.5558
32,1.002988568,0.94476096,4.565
33,1.002702793,0.942602452,4.5742
34,1.002399703,0.940482147,4.5831
35,1.002075886,0.938371267,4.5919
36,1.001729308,0.936248623,4.6007
37,1.001357315,0.934099452,4.6096
38,1.000962411,0.931938779,4.6185
39,1.000550579,0.929789854,4.6272
40,1.000125445,0.927668539,4.6359
41,0.999684222,0.9255583,4.6444
42,0.99922345,0.923433574,4.6529
43,0.998741127,0.921283566,4.6615
44,0.998239461,0.919118674,4.6702
45,0.997721204,0.916943628,4.6788
46,0.997187329,0.914761105,4.6875
47,0.996637422,0.912569073,4.6961
48,0.996072351,0.910365339,4.7048
49,0.995492697,0.908148637,4.7136
50,0.994898432,0.905920516,4.7223
51,0.994289525,0.903682955,4.7311
52,0.993666268,0.901435952,4.74
53,0.993028865,0.89917997,4.7488
54,0.992377101,0.896917912,4.7577
55,0.991712016,0.894652796,4.7665
56,0.991033047,0.892382247,4.7754
57,0.990337389,0.890100941,4.7842
58,0.989621552,0.887797776,4.7932
59,0.988889142,0.885483743,4.8021
60,0.988148226,0.883187627,4.811
